modell_code;modell;baugruppe;pos;artikel;bezeichnung
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;10;p-35825;Traversenschraube M10 x 220mm -PIAGGIO- Vespa GT 250 (ZAPM45102), Vespa GT L 125 (ZAPM31100, ZAPM31101), Vespa GT L 200 (ZAPM31200), Vespa GTS 125 (ZA
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;11;p-15757;Federring -DIN 127- M10
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;16;p-12035;Sicherungsscheibe Silentgummi Motor links 29x39x2mm -OEM QUALITÄT- Vespa PV125, V50N, PK S, PK XL, PK XL2
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;17;p-12035;Sicherungsscheibe Silentgummi Motor links 29x39x2mm -OEM QUALITÄT- Vespa PV125, V50N, PK S, PK XL, PK XL2
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;19;p-49139;Unterlegscheibe M8x24x2mm Gabel/Schwingenabdeckung -VESPA- V50, V90, SS50, SS90, PV125, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;20;p-15719;Mutter -DIN 934- M8
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;21;p-3553;Silentgummi Stoßdämpfer vorne oben -CIF 14x31x9mm- Vespa V50, 50N, SS50, V90, SS90, PV125, ET3, PK, GS160, SS180
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;26;p-6410;Stoßdämpferpatrone hinten -OEM QUALITÄT- 330mm- Vespa PX80, PX125, PX150, PX200, T5 125cc, Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), TS12
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;28;p-15727;Federring -DIN 127- M8
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;29;p-15727;Federring -DIN 127- M8
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;38;p-47704;Silentblock-Set Stoßdämpfer/Motor -BGM PRO Antislip orange (Made in Germany) Ø=9mm x 48mm- Vespa PX (1983), Rally, TS, Sprint, Sprint Veloce, GT, GTR,
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;39;p-47704;Silentblock-Set Stoßdämpfer/Motor -BGM PRO Antislip orange (Made in Germany) Ø=9mm x 48mm- Vespa PX (1983), Rally, TS, Sprint, Sprint Veloce, GT, GTR,
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;40;p-365;Silentblockbuchse Motor -PIAGGIO- Vespa V50, SS50, PK 50S, PK 50XL, PK 50XL2
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;45;p-15295;O-Ring Ø16x2,50mm -PIAGGIO-Kickstarterwelle Vespa V50, PV125, ET3, PK, PX, T5 125ccm, Cosa, Rally, Sprint, TS125, GT125, GTR125, Super, GS160 / GS4, S
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;46;p-15295;O-Ring Ø16x2,50mm -PIAGGIO-Kickstarterwelle Vespa V50, PV125, ET3, PK, PX, T5 125ccm, Cosa, Rally, Sprint, TS125, GT125, GTR125, Super, GS160 / GS4, S
c-5211;Vespa 50 R (V5A1T 752189-);Aufhängung;48;p-15768;Mutter selbstsichernd -DIN 985- M5 (verwendet für Hebelschraube Vespa PX, T5 125ccm, Rally, Sprint, TS, GT, GTR, SS180, GS160, Super, GL, VNA, VNB, VB
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;3;p-11557;Schraube -DIN 84- M3 x 12mm (verwendet für Befestigung Lichtschalter/Blinkerschalter Rally180 (VSD1T), Rally200 (VSE1T), Sprint, PV, ET3, V50)
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;6;p-9696;Lichtschalter -GRABOR- Vespa V50 N, V50 L, V50 R
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;12;p-15497;Birne -BA15s (Stifte gerade) - 6V 15W - Weiss - Bremslicht Vespa 90 Racer (V9SS2T), Vespa 50 Special (V5B1T, V5B3T), 50 Sprinter (V5SS1T), 50 SR (V5SS
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;13;p-15485;Soffitte -SV8,5 11x36mm- 6V 5W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;14;p-15496;Birne -BA15s (Stifte gerade) - 6V 10W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;16;p-15494;Birne -BA20d- 6V 25/25W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;19;p-14329;Scheinwerfereinstellschiene Sicherungsklammer Scheinwerfer -OEM QUALITÄT- Vespa V50, PV125, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;20;p-48101;Scheinwerfer -SIEM LED Ø=105/115mm (Glas/außen)- Vespa Smallframe V50 (kleiner Rundlenker)- 50N (V5A1T 122877-), 50L (V5A1T), 50R (V5A1T) - inkl. Span
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;22;p-48101;Scheinwerfer -SIEM LED Ø=105/115mm (Glas/außen)- Vespa Smallframe V50 (kleiner Rundlenker)- 50N (V5A1T 122877-), 50L (V5A1T), 50R (V5A1T) - inkl. Span
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;24;p-11741;Scheinwerfer -SIEM, Ø=105/115mm (Glas/außen)- Vespa Smallframe V50 (kleiner Rundlenker)- 50N (V5A1T 122877-), 50L (V5A1T), 50R (V5A1T) - Bilux BA20d 2
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;29;p-11741;Scheinwerfer -SIEM, Ø=105/115mm (Glas/außen)- Vespa Smallframe V50 (kleiner Rundlenker)- 50N (V5A1T 122877-), 50L (V5A1T), 50R (V5A1T) - Bilux BA20d 2
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;34;p-15601;Hupendichtung -OEM QUALITÄT, Ø=54x81x4mm V50, V90, SS50, SS90, PV125, ET3 - Vespa Grau
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;35;p-9541;Blechmutter 2,9mm (verwendet für Hupe Vespa V50, V90, GL150 (VLA1T), GT125 (VNL2T), GTR125 (VNL2T), Super, Sprint150 (VLB1T), Rally180 (VSD1T), Rally2
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;36;p-13069;Blechschraube -DIN 7971 2,9x19mm Edelstahl (verwendet für Hupe Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), TS125 (VNL3T), GT125 (VNL2T), GT
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;37;p-13069;Blechschraube -DIN 7971 2,9x19mm Edelstahl (verwendet für Hupe Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), TS125 (VNL3T), GT125 (VNL2T), GT
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;39;p-11962;Schraube -DIN 933- M4 x 25mm (verwendet für Bremslichtschalter Vespa PK, PX, PV, ET3)
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;40;p-15678;Federring -DIN 127- M4
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;41;p-15678;Federring -DIN 127- M4
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;42;p-15677;Unterlegscheibe -DIN 125- M4
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;44;p-358;Gummi Bremspedal/Bremslichtschalter -PIAGGIO- Vespa PX, ET3, PV, V50
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;45;p-15547;Bremslichtschalter -OEM QUALITÄT- Vespa PV125, ET3, PX80, PX125, PX150, PX200 (Modelle ohne Blinker) - Öffner (Blau/Schwarz)
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;53;p-11525;Schraube -DIN 931- M6 x 25mm (8.8 Festigkeit) - (verwendet für Kupplungsdeckel Vespa PX, Cosa, T5 125ccm, Rally, Sprint, TS, GT, GTR, GL, SS 180, GS 1
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;54;p-11920;Schraube -DIN 933- M6 x 16mm (8.8 Festigkeit)
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;55;p-15700;Schraube -DIN 933- M6 x 20mm (8.8 Festigkeit)
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;56;p-15696;Federring -DIN 127- M6
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;57;p-13501;Unterlegscheibe Karosserie -DIN 9021- M6 - Edelstahl
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;61;p-5594;Rücklichtgummi (Dichtung zum Rahmen) -SIEM- PV125 (VMA2T, 140162-), ET3 (VMB1T), P125 ETS (PK, VMS1T), 50 Sprinter (V5SS2T, 10480- Deutschland), 50 Sp
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;62;p-5402;Rücklichtgummi (Dichtung zum Rahmen) -SIEM- passend für Rücklicht SIEM Vespa Antik- Metall klein - Vespa 50S (V5SA1T), V50R (V5A1T), V50 Special (V5A2
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;63;p-5594;Rücklichtgummi (Dichtung zum Rahmen) -SIEM- PV125 (VMA2T, 140162-), ET3 (VMB1T), P125 ETS (PK, VMS1T), 50 Sprinter (V5SS2T, 10480- Deutschland), 50 Sp
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;64;p-5402;Rücklichtgummi (Dichtung zum Rahmen) -SIEM- passend für Rücklicht SIEM Vespa Antik- Metall klein - Vespa 50S (V5SA1T), V50R (V5A1T), V50 Special (V5A2
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;65;p-15496;Birne -BA15s (Stifte gerade) - 6V 10W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;66;p-15496;Birne -BA15s (Stifte gerade) - 6V 10W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;67;p-15485;Soffitte -SV8,5 11x36mm- 6V 5W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;68;p-15492;Soffitte -SV8,5 15x41mm- 6V 18W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;69;p-15485;Soffitte -SV8,5 11x36mm- 6V 5W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;70;p-15485;Soffitte -SV8,5 11x36mm- 6V 5W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;71;p-15492;Soffitte -SV8,5 15x41mm- 6V 18W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;72;p-15485;Soffitte -SV8,5 11x36mm- 6V 5W - Weiss
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;80;p-9631;Rücklichtglas -SIEM- Vespa V50 S, V50 N, V50 L
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;81;p-9631;Rücklichtglas -SIEM- Vespa V50 S, V50 N, V50 L
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;82;p-5592;Rücklicht -SIEM- PV125 (VMA2T, 140162-), ET3 (VMB1T), P125 ETS (PK, VMS1T), 50 Sprinter (V5SS2T, 10480- Deutschland), 50 Special (V5B3T, 185179-), V50
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;86;p-5593;Rücklichtglas -SIEM- PV125 (VMA2T, 140162-), ET3 (VMB1T), P125 ETS (PK, VMS1T), 50 Sprinter (V5SS2T, 10480- Deutschland), 50 Special (V5B3T, 185179-),
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;87;p-12656;Schraube Rücklichtglas -VESPA M3 x 32mm- Vespa 50 N (V5A1T -122876), GL (VLA1T), Sprint (VLB1T -025478), SS 180 (VSC1T -18000)
c-5211;Vespa 50 R (V5A1T 752189-);Beleuchtung;89;p-13103;Schraube für Rücklichtglas -SIEM M3 x 35mm, Steigung=0.5, Schaft Ø=3x24mm- Vespa Vespa 50 (V5A1T (CH)), Vespa 50 SS (V5SS1T), Vespa 90 (V9A1T (CH)), V
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;1;p-9818;Lötnippel -UNIVERSAL- Nippel Ø=3,0mm x 3mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;4;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;5;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;6;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;7;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;8;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;9;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;10;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;11;p-6433;Endkappe für Außenzug -UNIVERSAL- Øinnen=5mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;14;p-6548;Zug universal innen -Ø=1,2mm x 2000mm, Nippel Ø=5,5mm x 7mm- verwendet als Gaszug - gedreht
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;17;p-6432;Endhülse für Zug -UNIVERSAL- Øinnen=7,2mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;18;p-6432;Endhülse für Zug -UNIVERSAL- Øinnen=7,2mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;19;p-10818;Aussenhülle -VESPA Vintage- Ø innen = 2,4mm, Ø aussen = 5,0mm (5m) - Grau
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;20;p-10818;Aussenhülle -VESPA Vintage- Ø innen = 2,4mm, Ø aussen = 5,0mm (5m) - Grau
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;25;p-9816;Birnennippeladapter -PIAGGIO- Nippel Ø=8x8mm - Vespa PX, T5 125ccm, Rally, Sprint, VBB, VNB, VNA, VBA, Super, TS, GT, GTR, V50, 50N, SS50, SS90, V90, 
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;26;p-9816;Birnennippeladapter -PIAGGIO- Nippel Ø=8x8mm - Vespa PX, T5 125ccm, Rally, Sprint, VBB, VNB, VNA, VBA, Super, TS, GT, GTR, V50, 50N, SS50, SS90, V90, 
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;29;p-6529;Tachowelle -PIAGGIO- Vespa V50, PV125
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;31;p-6423;Zug universal innen -Ø=1,9mm x 2000mm, Nippel Birnentyp- verwendet als Kupplungszug, Bremszug vorne - gedreht
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;32;p-10819;Aussenhülle -VESPA Vintage- Ø innen = 3,0mm, Ø aussen = 5,5mm (5m) - Grau
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;33;p-10817;Aussenhülle -VESPA Vintage- Ø innen = 2,0mm, Ø aussen = 4,4mm (5m) - Grau
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;34;p-10817;Aussenhülle -VESPA Vintage- Ø innen = 2,0mm, Ø aussen = 4,4mm (5m) - Grau
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;35;p-35201;Schraubenschlüssel, Doppel-Maulschlüssel -TOPTUL- 8x9mm SLIMLINE- verwendet zur Befestigung Klemmnippel Schaltraste Vespa
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;36;p-35201;Schraubenschlüssel, Doppel-Maulschlüssel -TOPTUL- 8x9mm SLIMLINE- verwendet zur Befestigung Klemmnippel Schaltraste Vespa
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;37;p-11920;Schraube -DIN 933- M6 x 16mm (8.8 Festigkeit)
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;38;p-1307;Bremspedalbolzen -VESPA- V50, V90, SS50, SS90, PV125, ET3 (bis Nr. 52720), PX (Bj. 1977)
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;39;p-11624;Klammer zur Führung der Schaltzüge -PIAGGIO- Vespa PX, T5 125ccm, Rally, TS, Sprint, Sprint Veloce, GT, GTR, GL, Super, SS180, V50, PV125, ET3, PK S, 
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;40;p-6937;Bremspedalfeder -VESPA- PX, T5 125cc, PK, V50, V90, SS50, SS90, PV125, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;41;p-9892;Bremspedalgummi -PIAGGIO- Vespa V50, PV, ET3 - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;42;p-45629;Bremspedal -PREMIUM- Vespa Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), TS125 (VNL3T), GT125 (VNL2T), GTR125 (VNL2T), GL150 (VLA1T), Super, 
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;43;p-11964;Sicherungsstift - Spannstift -PIAGGIO- 3x18mm (verwendet für Kupplungsarm Vespa V50, PV125, ET3)
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;44;p-11525;Schraube -DIN 931- M6 x 25mm (8.8 Festigkeit) - (verwendet für Kupplungsdeckel Vespa PX, Cosa, T5 125ccm, Rally, Sprint, TS, GT, GTR, GL, SS 180, GS 1
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;45;p-12065;Unterlegscheibe 6,5x16x1,5mm -PIAGGIO- (verwendet für Kotflügel Vespa PX)
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;46;p-12065;Unterlegscheibe 6,5x16x1,5mm -PIAGGIO- (verwendet für Kotflügel Vespa PX)
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;47;p-15696;Federring -DIN 127- M6
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;48;p-15696;Federring -DIN 127- M6
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;49;p-15690;Mutter -DIN 934- M6
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;50;p-44723;Bremspedal-Set -OEM QUALITÄT- Vespa PX, PX Lusso, PX 98, PX My, PX 2011, T5 125cc, PK S, PK XL, PK XL2, ET3 (ab Nr. 52721), V50 R (ab Nr. 914748), V50
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;51;p-13137;Kastenmutter -M6- verwendet für Befestigung Spannungsregler und Bremspedal Vespa PX, T5, PK, Cosa
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;52;p-13137;Kastenmutter -M6- verwendet für Befestigung Spannungsregler und Bremspedal Vespa PX, T5, PK, Cosa
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;53;p-6936;Bremspedalbolzen Ø=5,5x21,5mm -PIAGGIO- Vespa PX, T5 125cc, PK, V50, V90, SS50, SS90, PV125, ET3 - verwendet zur Befestigung des Bremszuges im Pedal (
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;54;p-1824;Gummi Rahmen/Bremspedal -OEM QUALITÄT- Vespa V50, V90, PV, PX alt (-1984) - runde Form
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;55;p-15026;Splint -DIN 94- Ø=2,0mm - 20mm - verwendet für Bolzen Klemmplättchen / Bremsarm hinten Vespa PX, Sprint, Rally, V50, PV125, ET3 etc.
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;57;p-11955;Mutter flach -DIN 439 ähnlich- M9 x 1,0mm - verwendet für Klemmplättchen hinten Bremszug/Bremsarm/Bremspedal Vespa
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;61;p-6515;Endkappe für Außenzug -UNIVERSAL- Øinnen=7mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;62;p-6429;Bremszug hinten innen -OEM QUALITÄT, Ø=2,5mm ohne Öse- Vespa Rally180 (VSD1T), Rally200 (VSE1T), Sprint, VNA, VNB, VBA, VBB, VNC, VBC…
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;64;p-17327;Chokezug -BGM PRO- Vespa Smallframe, 300/380mm, Tonne 3x3mm
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;65;p-9799;Gaszug -PIAGGIO- Vespa V50, PV125, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;66;p-9807;Schaltzug -PIAGGIO- Vespa V50, PV125, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;67;p-9803;Kupplungszug -PIAGGIO- Vespa V50, PV125, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;68;p-6529;Tachowelle -PIAGGIO- Vespa V50, PV125
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;69;p-9792;Bremszug vorne -PIAGGIO- Vespa V50, PV125, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;71;p-362;Federscheibe gewellt -PIAGGIO- Stahl verzinkt- M6 - verwendet für Zylinderhaube Smallframe, Druckfeder Chokehebel
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;73;p-15696;Federring -DIN 127- M6
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;75;p-3120;Chokehebel am Rahmen -OEM QUALITÄT- Vespa PK S, PK XL - flaches Blech
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;76;p-5621;Gummi Rahmen/Schalt-Kupplungszug -IMPORT- Vespa V50, V90, PV, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Bowdenzüge;78;p-11795;Schlauchklemme -UNIVERSAL- Ø = 14mm - verwendet z.B. für Benzinschlauch Vespa Klassik Largeframe (Vespa PX, Rally, Sprint, GT, GTR, Super, VNA, VNB, V
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;25;p-17010;Bougierohr -UNIVERSAL Ø=8mm- 5m - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;26;p-17010;Bougierohr -UNIVERSAL Ø=8mm- 5m - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;27;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;28;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;29;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;30;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;31;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;32;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;33;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;34;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;35;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;36;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;37;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;38;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;39;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;40;p-2949;Kabelschuh -Flachsteckhülse 4,8mm Ø=0,5-1,0mm²- DIN 46247 - 10stk.
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;41;p-17012;Bougierohr -UNIVERSAL Ø=10mm- 5m - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;42;p-17012;Bougierohr -UNIVERSAL Ø=10mm- 5m - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;43;p-17012;Bougierohr -UNIVERSAL Ø=10mm- 5m - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;44;p-6833;Gummikappe Kabelkästchen -PIAGGIO- Vespa alle Modelle
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;45;p-17016;Bougierohr -UNIVERSAL Ø=4mm- 5m - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;46;p-17016;Bougierohr -UNIVERSAL Ø=4mm- 5m - Schwarz
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;47;p-5621;Gummi Rahmen/Schalt-Kupplungszug -IMPORT- Vespa V50, V90, PV, ET3
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;48;p-158;Kabelbaum -PIAGGIO- Vespa V50 (V5A1T) - Stator mit 2-Spulen, innenliegende Zündspule, ohne Bremslicht
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;52;p-10350;Gummi Rücklichtkabel/Rahmen -PIAGGIO- Vespa
c-5211;Vespa 50 R (V5A1T 752189-);Elektrische Ausrüstung;53;p-45381;Verbindungskabel Zündspule und Kabelkästchen -VESPARATUR- Vespa Sprint, GT, GTR, TS
c-5211;Vespa 50 R (V5A1T 752189-);Gabel - Kotflügel - Bremstrommel vorn;2;p-9;Bremstrommel vorne 9 Zoll -FA ITALIA- Vespa V50 R (V5A1T ab Nr. 752189), V50 Special (V5A2T, - bis Bj. 1971), V50 Special Elestart (V5A3T - bis Bj. 19
c-5211;Vespa 50 R (V5A1T 752189-);Gabel - Kotflügel - Bremstrommel vorn;3;p-9;Bremstrommel vorne 9 Zoll -FA ITALIA- Vespa V50 R (V5A1T ab Nr. 752189), V50 Special (V5A2T, - bis Bj. 1971), V50 Special Elestart (V5A3T - bis Bj. 19
c-5211;Vespa 50 R (V5A1T 752189-);Gabel - Kotflügel - Bremstrommel vorn;6;p-513;Wellendichtring 25x40x7mm -CORTECO NBR- (verwendet für Vorderrad Vespa V50, V90, SS50, SS90, PV125, ET3)
